fold,model,RMSE,MAE,Spearman,NDCG@20,Hit@20
1,XGBoost_tuned,2.106023,1.584309,0.441538,0.835594,1.0
1,FlatMLP,2.111272,1.589792,0.446169,0.838031,1.0
1,BlockWiseMLP,2.109024,1.576766,0.447971,0.835896,1.0
1,ResidualMLP,2.106287,1.575781,0.456113,0.839227,1.0
2,XGBoost_tuned,2.076925,1.561623,0.429571,0.845799,1.0
2,FlatMLP,2.083307,1.574391,0.424024,0.84172,1.0
2,BlockWiseMLP,2.072682,1.56357,0.431884,0.845903,1.0
2,ResidualMLP,2.069784,1.559565,0.4269,0.845324,1.0
3,XGBoost_tuned,2.196707,1.622838,0.437688,0.843769,1.0
3,FlatMLP,2.200462,1.641248,0.432146,0.841862,1.0
3,BlockWiseMLP,2.194552,1.620346,0.444009,0.843692,1.0
3,ResidualMLP,2.194665,1.614529,0.437347,0.842374,1.0
4,XGBoost_tuned,2.137505,1.592459,0.429467,0.835078,1.0
4,FlatMLP,2.138901,1.599039,0.429969,0.835683,1.0
4,BlockWiseMLP,2.133574,1.597374,0.435326,0.834732,1.0
4,ResidualMLP,2.133451,1.59527,0.435557,0.836357,1.0
5,XGBoost_tuned,2.148263,1.610963,0.415492,0.837853,1.0
5,FlatMLP,2.145907,1.610531,0.431212,0.83847,1.0
5,BlockWiseMLP,2.14042,1.599522,0.410766,0.835899,1.0
5,ResidualMLP,2.139792,1.599084,0.427484,0.839764,1.0
