column,feature_group,n_rows,n_non_null,outlier_count,outlier_ratio,q1,q3,iqr,lower_fence,upper_fence,min,p1,p50,p99,max,iqr_degenerate
target_gene_count,target_continuous,25575,25575,3354,0.13114369501466275,0.0,1.0,1.0,-1.5,2.5,0.0,0.0,0.0,15.0,40.0,False
drug_desc_hbd,rdkit_descriptor,25575,25575,2928,0.11448680351906158,0.0,1.0,1.0,-1.5,2.5,0.0,0.0,0.0,6.0,20.0,False
drug_desc_rot_bonds,rdkit_descriptor,25575,25575,2077,0.08121212121212121,0.0,3.0,3.0,-4.5,7.5,0.0,0.0,0.0,13.0,35.0,False
drug_desc_frac_csp3,rdkit_descriptor,25575,25575,1626,0.06357771260997068,0.0,0.19047619047619047,0.19047619047619047,-0.2857142857142857,0.47619047619047616,0.0,0.0,0.0,0.6808510638297872,1.0,False
drug_desc_logp,rdkit_descriptor,25575,25575,1304,0.05098729227761486,0.0,2.1483999999999996,2.1483999999999996,-3.2225999999999995,5.370999999999999,-7.703580000000035,-1.8409000000000002,0.0,7.880600000000009,8.833200000000007,False
drug_desc_tpsa,rdkit_descriptor,25575,25575,686,0.026823069403714567,0.0,76.5,76.5,-114.75,191.25,0.0,0.0,0.0,224.44999999999996,627.07,False
drug_desc_hba,rdkit_descriptor,25575,25575,478,0.018690127077223853,0.0,5.0,5.0,-7.5,12.5,0.0,0.0,0.0,14.0,31.0,False
drug_desc_ring_count,rdkit_descriptor,25575,25575,347,0.013567937438905182,0.0,3.0,3.0,-4.5,7.5,0.0,0.0,0.0,8.0,9.0,False
drug_desc_mol_wt,rdkit_descriptor,25575,25575,247,0.009657869012707723,0.0,373.4600000000001,373.4600000000001,-560.1900000000002,933.6500000000003,0.0,0.0,0.0,905.044,1415.5760000000005,False
drug_desc_heavy_atoms,rdkit_descriptor,25575,25575,195,0.007624633431085044,0.0,26.0,26.0,-39.0,65.0,0.0,0.0,0.0,64.0,96.0,False
target_overlap_down_count,target_continuous,25575,25575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,True
target_overlap_down_ratio,target_continuous,25575,25575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
target_expr_mean,target_continuous,25575,25575,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0551066398620605,-1.6193235564231871,0.0,0.09532191097736321,0.46455255150794983,True
target_expr_std,target_continuous,25575,25575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0211894559860217,1.8683314323425293,True
target_gene_coverage_ratio,target_continuous,25575,25575,0,0.0,0.0,1.0,1.0,-1.5,2.5,0.0,0.0,0.0,1.0,1.0,False
