epoch,train_loss,valid_rmse
1,17.13241686,3.75745414
2,15.65998949,3.67899
3,14.70736294,3.58604215
4,13.48403479,3.47552653
5,12.66771168,3.33155324
6,11.8909238,3.24286588
7,11.12445623,3.13858133
8,10.87976484,3.07089406
9,10.40228787,2.98381461
10,9.86118515,2.91725536
11,9.45226663,2.84798644
12,9.14473998,2.78302742
13,9.08491467,2.74644535
14,8.64410336,2.70360574
15,8.37596096,2.66448345
16,8.21513197,2.64064459
17,8.11428874,2.62419652
18,7.95025529,2.62726287
19,7.71161131,2.60199136
20,7.56330072,2.57553896
21,7.54886819,2.59328024
22,7.47334164,2.56628724
23,7.5095996,2.56364462
24,7.53711074,2.61097814
25,7.31280423,2.59463008
26,7.28058537,2.56448799
27,7.18721983,2.57948249
28,7.26002261,2.58473477
29,7.13123297,2.59999042
30,7.19247648,2.58334903
31,7.06636488,2.64516884
32,7.03073758,2.61998779
33,6.9836346,2.56713717
34,6.94664894,2.59987129
35,6.96955773,3.10036632
36,6.88143082,3.01437732
37,6.82455502,3.14084985
38,6.8072515,2.79574008
39,6.85959973,2.55774993
40,6.79139072,2.54175319
41,6.80452714,2.5438977
42,6.79482559,2.54472757
43,6.77768917,2.53797688
44,6.78136317,2.54648751
45,6.74896447,2.54410632
46,6.68971942,2.56218196
47,6.65436127,2.57386066
48,6.6658025,2.58287074
49,6.61134437,2.59054956
50,6.65122232,2.57710098
51,6.62448857,2.60828994
52,6.72496965,2.58863915
53,6.63040303,2.60531337
54,6.7011142,2.58697507
55,6.6362599,2.58803434
56,6.56773328,2.60972237
57,6.66094354,2.60230306
58,6.64338675,2.58561193
59,6.67460602,2.6132027
60,6.70151418,2.61090372
61,6.687706,2.57894246
62,6.7089582,2.56980951
63,6.70775833,2.55178939
