rank,feature,mean_abs_shap
1,drug_has_valid_smiles,0.10152428
2,drug_desc_heavy_atoms,0.092195
3,drug_desc_mol_wt,0.08708535
4,target_gene_coverage_ratio,0.07817839
5,drug_morgan_0878,0.0716084
6,drug_morgan_1292,0.07014989
7,target_expr_mean,0.06654336
8,target_gene_count,0.05874753
9,drug_morgan_0314,0.05424867
10,target_overlap_down_ratio,0.05199102
11,drug_morgan_0694,0.0501738
12,drug_morgan_1181,0.04702203
13,drug_morgan_1114,0.04088419
14,drug_desc_hba,0.03717932
15,drug_morgan_1083,0.03281576
16,drug_morgan_0267,0.03158618
17,drug_desc_hbd,0.02819402
18,drug_desc_logp,0.02600384
19,drug_morgan_1028,0.02573396
20,drug_morgan_1066,0.01899388
