model,fold,RMSE,MAE,Spearman,NDCG@20,Hit@20
Network_Proximity,1,2.72899705334365,2.128142843709252,0.1220371913515833,0.6894119023587794,0.9655172413793104
Network_Proximity,2,2.446612699941268,1.9326952925657224,0.0422466705820427,0.6728059369961651,1.0
Network_Proximity,3,2.527817636516226,1.9571169923477931,0.0761612794156388,0.7270561417831173,0.8620689655172413
Network_Proximity,4,2.739396819240597,2.0400614670941057,0.0773720445265355,0.744988018333654,1.0
Network_Proximity,5,2.4715083147708024,1.9061218518034524,0.2367216929366546,0.6992501282310886,1.0
Network_Proximity,mean,2.582866504762509,1.9928276895040653,0.110907775762491,0.7067024255405608,0.9655172413793104
Network_Proximity,spearman_std,,,0.0678222932207024,,
GraphSAGE,1,2.828378824045384,2.3578882217407227,0.1822867764794629,0.7075743589687062,1.0
GraphSAGE,2,2.596596316591289,2.084482431411743,0.2748011177989145,0.7796115015830144,1.0
GraphSAGE,3,2.5599692338346434,2.126260280609131,0.3095891761731182,0.7696676402366879,1.0
GraphSAGE,4,2.5975254570867294,2.137578248977661,0.2922977291415263,0.8035701254418711,1.0
GraphSAGE,5,2.8172213450264354,2.281123161315918,0.1542525939665734,0.6899874411510168,1.0
GraphSAGE,mean,2.679938235316897,2.1974664688110352,0.242645478711919,0.7500822134762594,1.0
GraphSAGE,spearman_std,,,0.0623494422370952,,
GCN,1,2.745603167583621,2.2552809715270996,0.1806576409785342,0.7073114177868294,0.9655172413793104
GCN,2,2.393099831513275,1.9018267393112185,0.3414791258160082,0.7709240798270449,1.0
GCN,3,2.516067750246031,2.068880319595337,0.2240033392251926,0.7437980108098421,1.0
GCN,4,2.479230628804675,2.001264810562134,0.399977711211254,0.8492927697225862,1.0
GCN,5,2.6224417254698165,2.1250712871551514,0.1218003321376887,0.7174133032883837,1.0
GCN,mean,2.5512886207234837,2.070464825630188,0.2535836298737356,0.7577479162869373,0.993103448275862
GCN,spearman_std,,,0.1026809390987216,,
